ct_uid,ct_name,municipality_code,municipality_name,apciq_sector_number,population_weight,population_in_sector,tract_population,weight_basis,assignment_method,neighbourhood_names,tract_is_shared,includes_corrected_point
4620120.01,0120.01,66023,Montréal,8,1.000000,7337,7337,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620120.02,0120.02,66058,Côte-Saint-Luc,8,1.000000,1114,1114,population,borough_code,,False,False
4620121.00,0121.00,66023,Montréal,8,1.000000,2078,2078,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620122.00,0122.00,66023,Montréal,8,1.000000,6517,6517,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620123.00,0123.00,66023,Montréal,8,1.000000,6480,6480,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620124.00,0124.00,66023,Montréal,8,1.000000,5872,5872,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620125.00,0125.00,66023,Montréal,8,1.000000,6344,6344,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620126.00,0126.00,66023,Montréal,8,1.000000,2280,2280,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620127.01,0127.01,66023,Montréal,8,1.000000,5578,5578,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620127.02,0127.02,66023,Montréal,8,1.000000,21,21,population,neighbourhood_polygon,Côte-des-Neiges,False,False
4620380.00,0380.00,66058,Côte-Saint-Luc,8,1.000000,4247,4247,population,borough_code,,False,False
4620381.00,0381.00,66058,Côte-Saint-Luc,8,1.000000,6248,6248,population,borough_code,,False,False
4620382.01,0382.01,66058,Côte-Saint-Luc,8,1.000000,4130,4130,population,borough_code,,False,False
4620382.02,0382.02,66058,Côte-Saint-Luc,8,1.000000,4663,4663,population,borough_code,,False,False
4620383.01,0383.01,66058,Côte-Saint-Luc,8,1.000000,3887,3887,population,borough_code,,False,False
4620383.02,0383.02,66058,Côte-Saint-Luc,8,1.000000,8641,8641,population,borough_code,,False,False
4620385.00,0385.00,66058,Côte-Saint-Luc,8,1.000000,1574,1574,population,borough_code,,False,False
4620350.00,0350.00,66032,Westmount,9,1.000000,2594,2594,population,borough_code,,False,False
4620351.00,0351.00,66032,Westmount,9,1.000000,5004,5004,population,borough_code,,False,False
4620352.00,0352.00,66032,Westmount,9,1.000000,2747,2747,population,borough_code,,False,False
4620353.00,0353.00,66032,Westmount,9,1.000000,2873,2873,population,borough_code,,False,False
4620354.00,0354.00,66032,Westmount,9,1.000000,3038,3038,population,borough_code,,False,False
4620355.00,0355.00,66032,Westmount,9,1.000000,1423,1423,population,borough_code,,False,False
4620356.00,0356.00,66032,Westmount,9,1.000000,1979,1979,population,borough_code,,False,False
4620360.00,0360.00,66023,Montréal,9,1.000000,1947,1947,population,borough_code,,False,False
4620361.00,0361.00,66023,Montréal,9,1.000000,1720,1720,population,borough_code,,False,False
4620362.00,0362.00,66023,Montréal,9,1.000000,2308,2308,population,borough_code,,False,False
4620363.00,0363.00,66023,Montréal,9,1.000000,4617,4617,population,borough_code,,False,False
4620364.00,0364.00,66023,Montréal,9,1.000000,3321,3321,population,borough_code,,False,False
4620365.00,0365.00,66023,Montréal,9,1.000000,3263,3263,population,borough_code,,False,False
4620366.00,0366.00,66023,Montréal,9,1.000000,2505,2505,population,borough_code,,False,False
4620367.00,0367.00,66023,Montréal,9,1.000000,4948,4948,population,borough_code,,False,False
4620370.00,0370.00,66062,Hampstead,9,1.000000,7037,7037,population,borough_code,,False,False
4620400.00,0400.00,66072,Mont-Royal,9,1.000000,5412,5412,population,borough_code,,False,False
4620401.00,0401.00,66072,Mont-Royal,9,1.000000,3019,3019,population,borough_code,,False,False
4620402.00,0402.00,66072,Mont-Royal,9,1.000000,1989,1989,population,borough_code,,False,False
4620403.00,0403.00,66072,Mont-Royal,9,1.000000,5474,5474,population,borough_code,,False,False
4620404.00,0404.00,66072,Mont-Royal,9,1.000000,5059,5059,population,borough_code,,False,False
4620317.03,0317.03,66023,Montréal,10,1.000000,4450,4450,population,neighbourhood_polygon,Ile-des-Soeurs,False,False
4620317.05,0317.05,66023,Montréal,10,1.000000,3545,3545,population,neighbourhood_polygon,Ile-des-Soeurs,False,False
