ref_date,geo,dguid,median_hh_total_income_2020,median_hh_total_income_2015,median_hh_aftertax_income_2020,median_hh_aftertax_income_2015,households_2021
2021,0276.00 - Montréal,2021S05074620276.00,58800,53200,51200,46400,2570
2021,0277.00 - Montréal,2021S05074620277.00,51600,46000,44800,41200,2085
2021,0278.00 - Montréal,2021S05074620278.00,66000,58400,57200,50800,2080
2021,0279.00 - Montréal,2021S05074620279.00,66500,54000,57200,46800,2220
2021,0280.00 - Montréal,2021S05074620280.00,65500,55600,57200,48400,2165
2021,0281.00 - Montréal,2021S05074620281.00,92000,79500,75000,65500,1470
2021,0282.00 - Montréal,2021S05074620282.00,63600,54000,56800,48000,2790
2021,0283.01 - Montréal,2021S05074620283.01,77500,60800,67500,56000,1370
2021,0283.02 - Montréal,2021S05074620283.02,61200,51200,56000,47600,1225
2021,0284.00 - Montréal,2021S05074620284.00,58800,53600,51600,48000,1585
2021,0285.00 - Montréal,2021S05074620285.00,71000,56800,62800,52000,2325
2021,0286.00 - Montréal,2021S05074620286.00,64000,51600,58800,48400,2020
2021,0287.01 - Montréal,2021S05074620287.01,46800,39200,42000,36800,3145
2021,0287.02 - Montréal,2021S05074620287.02,79000,68000,69500,60400,1775
2021,0288.00 - Montréal,2021S05074620288.00,180000,170000,140000,135000,410
2021,0290.01 - Montréal,2021S05074620290.01,84000,75000,74000,66000,1040
2021,0290.02 - Montréal,2021S05074620290.02,77500,65000,68500,58800,2230
2021,0290.03 - Montréal,2021S05074620290.03,69000,60000,61200,53600,1785
2021,0290.04 - Montréal,2021S05074620290.04,87000,73000,75000,64000,2520
2021,0290.05 - Montréal,2021S05074620290.05,57600,52800,51600,47200,2325
2021,0290.06 - Montréal,2021S05074620290.06,74500,66000,66500,59200,2025
2021,0290.07 - Montréal,2021S05074620290.07,75000,62800,66000,57600,1580
2021,0290.08 - Montréal,2021S05074620290.08,88000,77000,76500,66500,1535
2021,0290.09 - Montréal,2021S05074620290.09,83000,71500,72500,64500,1780
2021,0291.01 - Montréal,2021S05074620291.01,89000,79000,78000,68000,1385
2021,0291.03 - Montréal,2021S05074620291.03,112000,98000,95000,82000,1955
2021,0291.04 - Montréal,2021S05074620291.04,118000,105000,99000,88000,1470
2021,0300.00 - Montréal,2021S05074620300.00,48400,41200,43600,37200,1360
2021,0301.00 - Montréal,2021S05074620301.00,67500,54000,57600,47600,2710
2021,0302.00 - Montréal,2021S05074620302.00,64500,47200,54800,41600,1565
2021,0303.00 - Montréal,2021S05074620303.00,60800,46400,52800,41600,1280
2021,0304.00 - Montréal,2021S05074620304.00,56000,46400,48800,42000,1755
2021,0305.00 - Montréal,2021S05074620305.00,62000,52400,53600,45600,2215
2021,0306.00 - Montréal,2021S05074620306.00,61200,50000,53600,45200,1510
2021,0307.00 - Montréal,2021S05074620307.00,58800,48800,51600,44000,1635
2021,0308.00 - Montréal,2021S05074620308.00,63600,52000,56400,46000,1375
2021,0309.00 - Montréal,2021S05074620309.00,78500,62800,65000,56000,625
2021,0310.00 - Montréal,2021S05074620310.00,73000,61600,62800,54000,1600
2021,0311.00 - Montréal,2021S05074620311.00,59200,48000,52800,43200,2050
2021,0312.00 - Montréal,2021S05074620312.00,66000,55600,56400,49200,1600
2021,0313.00 - Montréal,2021S05074620313.00,73000,62800,62800,54400,1505
2021,0314.00 - Montréal,2021S05074620314.00,74000,65500,64000,56000,1150
2021,0315.00 - Montréal,2021S05074620315.00,,,,,
2021,0316.00 - Montréal,2021S05074620316.00,116000,103000,94000,84000,845
2021,0317.03 - Montréal,2021S05074620317.03,113000,108000,88000,85000,2220
2021,0317.05 - Montréal,2021S05074620317.05,72500,66000,64500,57600,1485
2021,0317.06 - Montréal,2021S05074620317.06,97000,102000,78500,82000,2355
2021,0317.07 - Montréal,2021S05074620317.07,108000,106000,85000,84000,2710
2021,0317.08 - Montréal,2021S05074620317.08,70000,60800,60000,53200,1525
2021,0320.00 - Montréal,2021S05074620320.00,71000,62400,62000,54400,2180
2021,0321.00 - Montréal,2021S05074620321.00,65500,57600,56800,51200,1400
2021,0322.02 - Montréal,2021S05074620322.02,76500,67500,66000,57600,1680
2021,0322.03 - Montréal,2021S05074620322.03,56400,51200,50400,45200,2435
2021,0322.04 - Montréal,2021S05074620322.04,58400,56800,52800,50000,1405
2021,0323.00 - Montréal,2021S05074620323.00,62400,61200,54400,53600,1375
2021,0324.01 - Montréal,2021S05074620324.01,64500,54000,56400,48800,2040
2021,0324.02 - Montréal,2021S05074620324.02,65500,54800,58400,50000,1205
2021,0325.01 - Montréal,2021S05074620325.01,66500,57600,60400,52400,1485
2021,0325.02 - Montréal,2021S05074620325.02,59600,50800,53200,46400,2820
2021,0325.03 - Montréal,2021S05074620325.03,67500,58400,60000,52800,1545
2021,0325.05 - Montréal,2021S05074620325.05,62400,57600,55200,51200,4355
2021,0325.06 - Montréal,2021S05074620325.06,73000,68000,63600,58400,2265
2021,0326.01 - Montréal,2021S05074620326.01,66000,58400,59600,52000,1155
2021,0326.02 - Montréal,2021S05074620326.02,60400,50400,53600,44800,1645
2021,0326.03 - Montréal,2021S05074620326.03,66500,56800,60400,52400,1935
2021,0327.00 - Montréal,2021S05074620327.00,60400,53600,54400,48800,2145
2021,0328.00 - Montréal,2021S05074620328.00,46000,38000,42800,36400,795
2021,0329.00 - Montréal,2021S05074620329.00,67000,55600,58400,48800,1915
2021,0330.00 - Montréal,2021S05074620330.00,58000,48800,52000,44000,2470
