municipality_code,municipality_name,matricule,borough_code,use_code,neighbourhood_unit,frontage_m,lot_area_m2,storeys,year_built,year_built_flag,floor_area_m2,physical_link,construction_type,dwelling_count,market_ref_date,land_value,building_value,total_value,prev_total_value
66112,Baie-D'Urfé,71302183661,,1000,0518,30.49,1428.10,2,1955,R,198.2,1,1,1,2024-07-01,535500,337200,872700,847300
66112,Baie-D'Urfé,71302188975,,1000,0518,30.48,1393.50,2,1956,R,194.2,1,2,1,2024-07-01,522600,294600,817200,793400
66112,Baie-D'Urfé,71302292272,,1000,0518,30.48,1393.50,1,1954,R,183.3,1,1,1,2024-07-01,522600,230500,753100,731200
66112,Baie-D'Urfé,71302296570,,1000,0518,30.48,1393.50,1,1956,R,108.8,1,1,1,2024-07-01,522600,133300,655900,636800
66112,Baie-D'Urfé,71303200878,,1000,0518,30.48,1393.50,1,1955,R,96.2,1,1,1,2024-07-01,522600,163600,686200,666200
66112,Baie-D'Urfé,71303304183,,1000,0518,30.48,1393.50,1,1955,R,224.9,1,1,1,2024-07-01,522600,452800,975400,947000
66112,Baie-D'Urfé,71303308481,,1000,0518,30.48,1393.50,2,2022,R,256.1,1,5,1,2024-07-01,522600,993600,1516200,1472000
66112,Baie-D'Urfé,71303312780,,1000,0518,30.48,1393.50,1,1955,R,144.8,1,1,1,2024-07-01,522600,219000,741600,720000
66112,Baie-D'Urfé,71303154737,,1000,0518,30.48,1579.40,2,1954,R,360.7,1,2,1,2024-07-01,592300,1046200,1638500,1590800
66112,Baie-D'Urfé,71303259049,,1000,0518,30.48,1579.40,1,1954,R,124.4,1,1,1,2024-07-01,592300,134300,726600,705400
66112,Baie-D'Urfé,71303262340,,1000,0518,30.48,1579.40,1,1955,R,102.8,1,1,1,2024-07-01,592300,148700,741000,719400
66112,Baie-D'Urfé,71303267646,,1000,0518,30.48,1590.30,1,1956,R,134.4,1,1,1,2024-07-01,596400,145400,741800,720200
66112,Baie-D'Urfé,71303271945,,1000,0518,30.48,1610.80,1,1955,R,103.7,1,1,1,2024-07-01,604100,94900,699000,678600
66112,Baie-D'Urfé,71303375241,,1000,0518,30.48,1621.40,1,1964,R,154.4,1,1,1,2024-07-01,608000,209600,817600,793800
66112,Baie-D'Urfé,71303380555,,1000,0518,30.48,1592.40,1,1955,R,108.1,1,1,1,2024-07-01,597200,116900,714100,693300
66112,Baie-D'Urfé,71303373964,,1000,0518,42.67,1591.50,2,1956,R,176.8,1,2,1,2024-07-01,596800,184200,781000,758300
66112,Baie-D'Urfé,71304402028,,1000,0518,30.48,1571.10,2,1987,R,248.5,1,5,1,2024-07-01,589200,486300,1075500,1044200
