ct_uid,ct_dguid,ct_name,cma_uid,csd_uid,csd_name,mamh_code,blocks,population_2021,dwellings_2021,land_area_km2,has_income_2020
4620163.00,2021S05074620163.00,0163.00,462,2466023,Montréal,66023,10,3090,1636,0.2023,true
4620164.00,2021S05074620164.00,0164.00,462,2466023,Montréal,66023,6,1586,1050,0.0694,true
4620165.00,2021S05074620165.00,0165.00,462,2466023,Montréal,66023,7,2322,1210,0.15,true
4620166.00,2021S05074620166.00,0166.00,462,2466023,Montréal,66023,10,574,349,0.2346,true
4620167.00,2021S05074620167.00,0167.00,462,2466023,Montréal,66023,13,2453,1212,0.2053,true
4620168.00,2021S05074620168.00,0168.00,462,2466023,Montréal,66023,9,2826,1252,0.1703,true
4620169.00,2021S05074620169.00,0169.00,462,2466023,Montréal,66023,9,2099,1021,0.1471,true
4620170.00,2021S05074620170.00,0170.00,462,2466023,Montréal,66023,8,2098,1148,0.1582,true
4620171.00,2021S05074620171.00,0171.00,462,2466023,Montréal,66023,32,4778,2995,0.4779,true
4620172.00,2021S05074620172.00,0172.00,462,2466023,Montréal,66023,19,2656,1761,0.1951,true
4620173.00,2021S05074620173.00,0173.00,462,2466023,Montréal,66023,10,2041,1222,0.1843,true
4620174.00,2021S05074620174.00,0174.00,462,2466023,Montréal,66023,9,2110,1292,0.2264,true
4620175.00,2021S05074620175.00,0175.00,462,2466023,Montréal,66023,8,1992,1142,0.1165,true
4620176.00,2021S05074620176.00,0176.00,462,2466023,Montréal,66023,7,1643,960,0.1131,true
4620177.00,2021S05074620177.00,0177.00,462,2466023,Montréal,66023,5,1342,817,0.0982,true
4620178.00,2021S05074620178.00,0178.00,462,2466023,Montréal,66023,17,2262,1411,0.2765,true
4620179.00,2021S05074620179.00,0179.00,462,2466023,Montréal,66023,28,3783,2348,0.502,true
4620180.00,2021S05074620180.00,0180.00,462,2466023,Montréal,66023,14,3322,2054,0.2641,true
4620181.00,2021S05074620181.00,0181.00,462,2466023,Montréal,66023,18,5881,3522,0.3348,true
4620182.00,2021S05074620182.00,0182.00,462,2466023,Montréal,66023,9,2099,1168,0.1378,true
4620183.00,2021S05074620183.00,0183.00,462,2466023,Montréal,66023,9,2152,1269,0.1317,true
4620184.00,2021S05074620184.00,0184.00,462,2466023,Montréal,66023,12,2965,1611,0.2192,true
4620185.00,2021S05074620185.00,0185.00,462,2466023,Montréal,66023,20,5192,2988,0.393,true
4620186.00,2021S05074620186.00,0186.00,462,2466023,Montréal,66023,18,4606,2617,0.3872,true
4620187.01,2021S05074620187.01,0187.01,462,2466023,Montréal,66023,13,3339,2027,0.3657,true
4620187.03,2021S05074620187.03,0187.03,462,2466023,Montréal,66023,12,4751,2662,0.3559,true
4620187.04,2021S05074620187.04,0187.04,462,2466023,Montréal,66023,37,6501,2808,0.7801,true
4620188.01,2021S05074620188.01,0188.01,462,2466023,Montréal,66023,8,2136,1214,0.1512,true
4620188.02,2021S05074620188.02,0188.02,462,2466023,Montréal,66023,11,2605,1531,0.2286,true
4620189.00,2021S05074620189.00,0189.00,462,2466023,Montréal,66023,1,0,0,1.4494,false
4620190.01,2021S05074620190.01,0190.01,462,2466023,Montréal,66023,27,3688,1928,0.4539,true
4620190.02,2021S05074620190.02,0190.02,462,2466023,Montréal,66023,17,4164,2360,1.043,true
4620191.00,2021S05074620191.00,0191.00,462,2466023,Montréal,66023,50,6160,3118,1.6918,true
4620192.00,2021S05074620192.00,0192.00,462,2466023,Montréal,66023,25,3229,1201,0.7797,true
4620193.00,2021S05074620193.00,0193.00,462,2466023,Montréal,66023,22,2197,1035,0.2647,true
4620194.01,2021S05074620194.01,0194.01,462,2466023,Montréal,66023,18,5132,1776,0.6153,true
4620194.02,2021S05074620194.02,0194.02,462,2466023,Montréal,66023,34,4478,2004,0.5941,true
4620195.01,2021S05074620195.01,0195.01,462,2466023,Montréal,66023,23,3537,1748,0.5513,true
4620195.02,2021S05074620195.02,0195.02,462,2466023,Montréal,66023,25,5384,2487,0.6001,true
4620195.03,2021S05074620195.03,0195.03,462,2466023,Montréal,66023,26,4956,2426,0.8863,true
4620196.00,2021S05074620196.00,0196.00,462,2466023,Montréal,66023,20,4065,2270,0.4048,true
4620197.00,2021S05074620197.00,0197.00,462,2466023,Montréal,66023,23,4915,2627,0.596,true
4620198.00,2021S05074620198.00,0198.00,462,2466023,Montréal,66023,32,5025,2654,0.6468,true
4620199.00,2021S05074620199.00,0199.00,462,2466023,Montréal,66023,12,2619,1418,0.2253,true
4620200.00,2021S05074620200.00,0200.00,462,2466023,Montréal,66023,16,4579,2410,0.3072,true
4620201.00,2021S05074620201.00,0201.00,462,2466023,Montréal,66023,29,6953,3625,0.938,true
4620202.00,2021S05074620202.00,0202.00,462,2466023,Montréal,66023,28,4186,2434,0.6147,true
4620203.00,2021S05074620203.00,0203.00,462,2466023,Montréal,66023,12,2797,1558,0.2379,true
4620204.00,2021S05074620204.00,0204.00,462,2466023,Montréal,66023,12,2667,1508,0.2347,true
4620205.00,2021S05074620205.00,0205.00,462,2466023,Montréal,66023,8,2095,1208,0.1769,true
4620206.00,2021S05074620206.00,0206.00,462,2466023,Montréal,66023,12,2530,1437,0.2322,true
4620207.00,2021S05074620207.00,0207.00,462,2466023,Montréal,66023,11,3379,1945,0.2558,true
4620208.00,2021S05074620208.00,0208.00,462,2466023,Montréal,66023,10,2497,1424,0.1992,true
4620209.00,2021S05074620209.00,0209.00,462,2466023,Montréal,66023,27,6031,3418,0.668,true
4620210.00,2021S05074620210.00,0210.00,462,2466023,Montréal,66023,16,4165,2536,0.3322,true
4620211.00,2021S05074620211.00,0211.00,462,2466023,Montréal,66023,7,2249,1367,0.1765,true
4620212.00,2021S05074620212.00,0212.00,462,2466023,Montréal,66023,7,2523,1489,0.194,true
4620213.00,2021S05074620213.00,0213.00,462,2466023,Montréal,66023,7,2586,1417,0.1915,true
4620214.00,2021S05074620214.00,0214.00,462,2466023,Montréal,66023,10,2765,1542,0.2538,true
4620215.00,2021S05074620215.00,0215.00,462,2466023,Montréal,66023,14,3010,1757,0.2371,true
4620216.00,2021S05074620216.00,0216.00,462,2466023,Montréal,66023,20,2200,1330,0.3287,true
4620217.00,2021S05074620217.00,0217.00,462,2466023,Montréal,66023,7,2518,1511,0.1625,true
4620218.00,2021S05074620218.00,0218.00,462,2466023,Montréal,66023,27,2877,1817,0.2804,true
4620219.00,2021S05074620219.00,0219.00,462,2466023,Montréal,66023,19,2827,1790,0.3127,true
4620220.00,2021S05074620220.00,0220.00,462,2466023,Montréal,66023,21,5683,2949,0.4207,true
4620221.00,2021S05074620221.00,0221.00,462,2466023,Montréal,66023,20,6147,3021,0.3292,true
4620222.00,2021S05074620222.00,0222.00,462,2466023,Montréal,66023,13,3777,1674,0.1991,true
4620223.01,2021S05074620223.01,0223.01,462,2466023,Montréal,66023,12,4052,1681,0.1447,true
4620223.02,2021S05074620223.02,0223.02,462,2466023,Montréal,66023,13,3353,1334,0.1953,true
4620224.00,2021S05074620224.00,0224.00,462,2466023,Montréal,66023,19,6054,2624,0.3721,true
4620225.00,2021S05074620225.00,0225.00,462,2466023,Montréal,66023,20,1414,706,0.6549,true
4620226.00,2021S05074620226.00,0226.00,462,2466023,Montréal,66023,16,2952,1683,0.2449,true
4620227.00,2021S05074620227.00,0227.00,462,2466023,Montréal,66023,6,1561,814,0.1159,true
4620228.00,2021S05074620228.00,0228.00,462,2466023,Montréal,66023,6,1628,819,0.1131,true
4620229.00,2021S05074620229.00,0229.00,462,2466023,Montréal,66023,1,0,0,0.4646,false
4620230.00,2021S05074620230.00,0230.00,462,2466023,Montréal,66023,6,1858,995,0.1151,true
4620231.00,2021S05074620231.00,0231.00,462,2466023,Montréal,66023,6,1612,906,0.1034,true
4620232.00,2021S05074620232.00,0232.00,462,2466023,Montréal,66023,23,4674,2817,0.3644,true
4620233.00,2021S05074620233.00,0233.00,462,2466023,Montréal,66023,6,2011,1279,0.104,true
4620234.00,2021S05074620234.00,0234.00,462,2466023,Montréal,66023,12,2144,1323,0.1495,true
4620235.00,2021S05074620235.00,0235.00,462,2466023,Montréal,66023,8,1872,1063,0.1166,true
4620236.00,2021S05074620236.00,0236.00,462,2466023,Montréal,66023,7,1776,1009,0.1078,true
4620237.00,2021S05074620237.00,0237.00,462,2466023,Montréal,66023,13,3418,1863,0.2179,true
4620238.00,2021S05074620238.00,0238.00,462,2466023,Montréal,66023,14,2338,1277,0.1633,true
4620239.00,2021S05074620239.00,0239.00,462,2466023,Montréal,66023,24,4606,2745,0.542,true
4620240.00,2021S05074620240.00,0240.00,462,2466023,Montréal,66023,14,3118,1667,0.3076,true
4620241.00,2021S05074620241.00,0241.00,462,2466023,Montréal,66023,15,2791,1480,0.2063,true
4620242.00,2021S05074620242.00,0242.00,462,2466023,Montréal,66023,21,6077,3258,0.3704,true
4620243.00,2021S05074620243.00,0243.00,462,2466023,Montréal,66023,14,3677,1915,0.2547,true
4620244.00,2021S05074620244.00,0244.00,462,2466023,Montréal,66023,9,2064,1133,0.1755,true
