ct_uid,admin_name,admin_geography_type,places_touched,name_is_a_majority_call,population_in_place,tract_population,population_named_elsewhere,assignment_basis
4620182.00,Rosemont-La Petite-Patrie,borough,1,False,2099,2099,0,population
4620183.00,Rosemont-La Petite-Patrie,borough,1,False,2152,2152,0,population
4620184.00,Rosemont-La Petite-Patrie,borough,1,False,2965,2965,0,population
4620185.00,Rosemont-La Petite-Patrie,borough,1,False,5192,5192,0,population
4620186.00,Rosemont-La Petite-Patrie,borough,1,False,4606,4606,0,population
4620187.01,Rosemont-La Petite-Patrie,borough,1,False,3339,3339,0,population
4620187.03,Rosemont-La Petite-Patrie,borough,1,False,4751,4751,0,population
4620187.04,Rosemont-La Petite-Patrie,borough,1,False,6501,6501,0,population
4620188.01,Rosemont-La Petite-Patrie,borough,1,False,2136,2136,0,population
4620188.02,Rosemont-La Petite-Patrie,borough,1,False,2605,2605,0,population
4620189.00,Rosemont-La Petite-Patrie,borough,1,False,0,0,0,dissemination_area_count
4620190.01,Mercier-Hochelaga-Maisonneuve,borough,1,False,3688,3688,0,population
4620190.02,Rosemont-La Petite-Patrie,borough,1,False,4164,4164,0,population
4620191.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,6160,6160,0,population
4620192.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,3229,3229,0,population
4620193.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,2197,2197,0,population
4620194.01,Mercier-Hochelaga-Maisonneuve,borough,1,False,5132,5132,0,population
4620194.02,Mercier-Hochelaga-Maisonneuve,borough,1,False,4478,4478,0,population
4620195.01,Rosemont-La Petite-Patrie,borough,1,False,3537,3537,0,population
4620195.02,Mercier-Hochelaga-Maisonneuve,borough,1,False,5384,5384,0,population
4620195.03,Mercier-Hochelaga-Maisonneuve,borough,1,False,4956,4956,0,population
4620196.00,Rosemont-La Petite-Patrie,borough,1,False,4065,4065,0,population
4620197.00,Rosemont-La Petite-Patrie,borough,1,False,4915,4915,0,population
4620198.00,Rosemont-La Petite-Patrie,borough,1,False,5025,5025,0,population
4620199.00,Rosemont-La Petite-Patrie,borough,1,False,2619,2619,0,population
4620200.00,Rosemont-La Petite-Patrie,borough,1,False,4579,4579,0,population
4620201.00,Rosemont-La Petite-Patrie,borough,1,False,6953,6953,0,population
4620202.00,Rosemont-La Petite-Patrie,borough,1,False,4186,4186,0,population
4620203.00,Rosemont-La Petite-Patrie,borough,1,False,2797,2797,0,population
4620204.00,Rosemont-La Petite-Patrie,borough,1,False,2667,2667,0,population
4620205.00,Rosemont-La Petite-Patrie,borough,1,False,2095,2095,0,population
4620206.00,Rosemont-La Petite-Patrie,borough,1,False,2530,2530,0,population
4620207.00,Rosemont-La Petite-Patrie,borough,1,False,3379,3379,0,population
4620208.00,Rosemont-La Petite-Patrie,borough,1,False,2497,2497,0,population
4620209.00,Rosemont-La Petite-Patrie,borough,1,False,6031,6031,0,population
4620210.00,Rosemont-La Petite-Patrie,borough,1,False,4165,4165,0,population
4620211.00,Rosemont-La Petite-Patrie,borough,1,False,2249,2249,0,population
4620212.00,Rosemont-La Petite-Patrie,borough,1,False,2523,2523,0,population
4620213.00,Rosemont-La Petite-Patrie,borough,1,False,2586,2586,0,population
4620214.00,Rosemont-La Petite-Patrie,borough,1,False,2765,2765,0,population
4620215.00,Rosemont-La Petite-Patrie,borough,1,False,3010,3010,0,population
4620216.00,Rosemont-La Petite-Patrie,borough,1,False,2200,2200,0,population
4620217.00,Rosemont-La Petite-Patrie,borough,1,False,2518,2518,0,population
4620218.00,Rosemont-La Petite-Patrie,borough,1,False,2877,2877,0,population
4620219.00,Rosemont-La Petite-Patrie,borough,1,False,2827,2827,0,population
